,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,SA12018_code,NZDep2018,NZDep2018_Score,URPopnSA1_2018,SA22018_code,SA22018_name
0,5,3.0,"106 Lawrence Crescent Hill Park, Auckland",714,960000,-37.0129205,174.90406940000003,7009770,48,27,24,21,24,21,Manurewa,171,7009770,6.0,997.0,174,159600,Hillpark North
1,5,3.0,"8 Corsica Way Karaka, Auckland",564,1250000,-37.0636724,174.9229121,7009991,42,18,12,21,15,30,Karaka,114,7009991,1.0,881.0,129,162500,Hingaia
2,6,4.0,"243 Harbourside Drive Karaka, Auckland",626,1250000,-37.063579700000005,174.9240444,7009991,42,18,12,21,15,30,Karaka,114,7009991,1.0,881.0,129,162500,Hingaia
3,2,1.0,"2/30 Hardington Street Onehunga, Auckland",65,740000,-36.9129964,174.78742490000002,7007871,42,6,21,21,12,15,Onehunga,117,7007871,2.0,908.0,120,144300,Onehunga North
4,3,1.0,"59 Israel Avenue Clover Park, Auckland",601,630000,-36.979036900000004,174.8926119,7008902,93,27,33,30,21,33,Clover Park,189,7008902,9.0,1091.0,231,157700,Clover Park North
5,3,1.0,"14 Tainui Terrace Mangere Bridge, Auckland",100,1050000,-36.943928899999996,174.78050149999999,7007917,63,15,24,33,30,39,Mangere Bridge,171,7007917,4.0,942.0,195,146800,Mangere Bridge
6,3,1.0,"54 Kelmarna Avenue Ponsonby, Auckland",531,2525000,-36.849238899999996,174.73445130000002,7004908,33,12,18,12,15,9,Ponsonby,117,7004908,4.0,951.0,102,130400,Ponsonby West
7,3,2.0,"39 Rawhiti Road One Tree Hill, Auckland",1024,1400000,-36.9077,174.7960425,7005903,36,33,39,21,12,24,One Tree Hill,147,7005903,4.0,951.0,162,142800,One Tree Hill
8,3,2.0,"17b Tawa Crescent Manurewa, Auckland",80,475000,-37.033322399999996,174.89811310000002,7009808,45,27,15,12,12,12,Manurewa,117,7009808,10.0,1164.0,126,160900,Manurewa South
9,4,2.0,"39a Keegan Drive Massey, Auckland",204,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,129,7003826,6.0,988.0,141,122500,Massey East
10,4,2.0,"39c Keegan Drive Massey, Auckland",170,900000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,129,7003826,6.0,988.0,141,122500,Massey East
11,4,2.0,"39b Keegan Drive Massey, Auckland",170,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,Massey,129,7003826,6.0,988.0,141,122500,Massey East
12,3,1.0,"9 Menear Lane Hillcrest, Auckland",637,920000,-36.7925353,174.7272634,7002805,42,33,36,30,24,24,Hillcrest,174,7002805,2.0,916.0,189,125800,Hillcrest West (Auckland)
13,3,1.0,"10 Fairlight Place Manurewa, Auckland",640,570000,-37.0251198,174.87963100000002,7009565,69,33,24,21,15,9,Manurewa,150,7009565,10.0,1225.0,171,160000,Rowandale East
14,4,2.0,"11 Arran Drive Millwater, Auckland",650,1150000,-36.9040755,174.69425690000003,7004424,54,45,33,18,18,6,Avondale,156,7004424,9.0,1070.0,174,135000,Avondale South (Auckland)
15,3,1.0,"53a Kimber Hall Avenue Mount Roskill, Auckland",138,1200000,-36.9184475,174.7177085,7007562,51,36,30,18,18,36,Mount Roskill,159,7007562,9.0,1076.0,183,139600,Lynfield North
16,2,1.0,"1/77 Kimber Hall Avenue Mount Roskill, Auckland",75,640000,-36.9185162,174.7192568,7007562,51,36,30,18,18,36,Mount Roskill,159,7007562,9.0,1076.0,183,139600,Lynfield North
17,5,3.0,"42 Johns Creek Crescent Silverdale, Auckland",724,640000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,45,7001422,2.0,899.0,219,113300,Millwater South
18,5,3.0,"4 Ahorangi Road Silverdale, Auckland",429,1180000,-36.6233277,174.66401430000002,7001422,51,54,66,24,9,12,Silverdale,45,7001422,2.0,899.0,219,113300,Millwater South
19,5,3.0,"32 Johns Creek Crescent Silverdale, Auckland",520,590000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,45,7001422,2.0,899.0,219,113300,Millwater South
20,3,1.0,"577 Mt Albert Road Royal Oak, Auckland",1381,2080000,-36.910598,174.7633054,7007751,27,36,24,18,12,9,Royal Oak,123,7007751,7.0,1021.0,135,142600,Royal Oak West (Auckland)
21,5,4.0,"109 Aberley Road Schnapper Rock, Auckland",732,1800000,-36.7506011,174.67955849999998,7002324,63,27,24,51,30,18,Schnapper Rock,168,7002324,1.0,861.0,213,118400,Schnapper Rock
22,4,2.0,"19 Kenley Place Avondale, Auckland",799,1145000,-36.8896501,174.67460690000001,7004268,48,24,30,24,18,27,Avondale,138,7004268,6.0,980.0,162,130600,Avondale Rosebank (Auckland)
23,3,1.0,"27 Stottholm Road Titirangi, Auckland",1105,920000,-36.9284876,174.6694885,7007391,72,21,30,33,27,15,Titirangi,156,7007391,6.0,987.0,198,135400,West Lynn
24,3,1.0,"71 First Avenue Kingsland, Auckland",463,1500000,-36.8721796,174.7386307,7004956,21,33,18,24,21,12,Kingsland,129,7004956,5.0,964.0,132,134400,Kingsland
25,3,2.0,"17 Dalwhinnie Parade Highland Park, Auckland",681,1100000,-36.9014454,174.915807,7006932,12,12,15,12,15,24,Highland Park,99,7006932,3.0,924.0,90,151300,Highland Park (Auckland)
26,3,2.0,"24a Roberts Road Matakatia Bay, Auckland",4068,710000,-36.6192234,174.7798928,7001678,51,18,15,27,36,42,Matakatia,138,7001678,1.0,885.0,189,115400,Tindalls-Matakatia
27,2,1.0,"72 Stonefields Avenue Stonefields, Auckland",106,1020000,-36.887909,174.8432822,7006356,45,18,42,51,18,42,Stonefields,42,7006356,3.0,936.0,213,145700,Stonefields East
28,3,1.0,"62 Richardson Road Mount Albert, Auckland",713,1150000,-36.8924701,174.71401530000003,7004636,51,39,15,21,45,33,Mount Albert,186,7004636,1.0,860.0,198,135200,Mount Albert South
29,3,2.0,"47b Comins Crescent Mission Bay, Auckland",211,1600000,-36.8540672,174.8347488,7006277,24,18,27,24,18,51,Mission Bay,132,7006277,3.0,927.0,168,141100,Mission Bay
30,3,2.0,"26 Fairholme Avenue Epsom, Auckland",402,1280000,-36.9031776,174.7684391,7005632,30,24,18,15,15,30,Epsom,129,7005632,2.0,903.0,132,141700,Epsom South
31,3,1.0,"24 Fairholme Avenue Epsom, Auckland",883,2150000,-36.9033021,174.7686074,7005632,30,24,18,15,15,30,Epsom,129,7005632,2.0,903.0,132,141700,Epsom South
32,5,3.0,"4 Fairholme Avenue Epsom, Auckland",883,2425000,-36.903732399999996,174.77070469999998,7005632,30,24,18,15,15,30,Epsom,129,7005632,2.0,903.0,132,141700,Epsom South
33,4,3.0,"4 Fairholme Avenue, Auckland",883 mÂ²,2425000,-36.903732399999996,174.77070469999998,7005632,30,24,18,15,15,30,Epsom,129,7005632,2.0,903.0,132,141700,Epsom South
34,4,1.0,"7 Rata Place Pukekohe, Auckland",675,435000,-37.1914653,174.8967586,7010341,96,36,24,24,12,9,Pukekohe,150,7010341,10.0,1247.0,204,165300,Pukekohe North West
35,4,3.0,"19b Hendry Avenue Hillsborough, Auckland",388,1300000,-36.9191013,174.7602332,7007766,51,48,33,30,18,12,Hillsborough,120,7007766,6.0,980.0,189,142900,Hillsborough East (Auckland)
